Hourly Precipitation (in),Hourly Radiation (W/m2),Temperature (C)
0,96,24.5
0,0,23.6
0,0,23
0,0,22.7
0,0,22.7
0,0,22.8
0,0,22.7
0,0,22
0,0,21.2
0,0,21.1
0,343,22.3
0,810,24.1
0,1172,26.3
0,1462,28.3
0,1687,29.2
0,1845,29.8
0.031666667,1935,30.2
0.031666667,1937,30.5
0.031666667,1899,30.7
0.031666667,1777,30.6
0.031666667,1596,30.3
0.031666667,1350,29.8
0.031666667,1041,29.6
0.031666667,652,27.2
0.031666667,148,25.3
0.031666667,0,24.4
0.031666667,0,23.9
0.031666667,0,23.5
0.031666667,0,23.1
0.031666667,0,22.6
0.031666667,0,22.3
0.031666667,0,22.1
0.031666667,0,22
0.031666667,0,22.3
0.031666667,367,23.2
0.031666667,836,24.6
0.031666667,1192,26.7
0.031666667,1479,28.6
0.031666667,1698,29.5
0.031666667,1691,30.2
0.037083333,1919,30.6
0.037083333,1943,30.9
0.037083333,1892,31
0.037083333,1771,30.8
0.037083333,1589,30.5
0.037083333,1346,30.2
0.037083333,1039,30
0.037083333,651,28
0.037083333,150,26.4
0.037083333,0,25.5
0.037083333,0,24.6
0.037083333,0,23.9
0.037083333,0,23.2
0.037083333,0,22.7
0.037083333,0,22.3
0.037083333,0,22
0.037083333,0,21.8
0.037083333,0,22.1
0.037083333,334,23.3
0.037083333,789,24.7
0.037083333,1141,26.5
0.037083333,1421,28.4
0.037083333,1644,29.3
0.037083333,1233,29.9
0.04125,1837,30.5
0.04125,1733,31
0.04125,1862,31.3
0.04125,1745,31.4
0.04125,1565,31.2
0.04125,1311,31
0.04125,996,30.9
0.04125,593,28.7
0.04125,113,27
0.04125,0,26
0.04125,0,25.2
0.04125,0,24.5
0.04125,0,23.9
0.04125,0,23.4
0.04125,0,23
0.04125,0,22.7
0.04125,0,22.4
0.04125,0,22.8
0.04125,232,24
0.04125,708,25.7
0.04125,1090,27.8
0.04125,1377,29.3
0.04125,1520,30.2
0.04125,868,30.8
0.003333333,750,31.3
0.003333333,1888,31.5
0.003333333,1848,31.7
0.003333333,1732,31.7
0.003333333,1551,31.7
0.003333333,1307,31.6
0.003333333,993,31.5
0.003333333,595,29
0.003333333,116,27
0.003333333,0,26.1
0.003333333,0,25.6
0.003333333,0,25.1
0.003333333,0,24.6
0.003333333,0,24
0.003333333,0,23.5
0.003333333,0,23
0.003333333,0,22.5
0.003333333,0,22.7
0.003333333,314,23.7
0.003333333,788,25.5
0.003333333,1154,28.1
0.003333333,1440,30.4
0.003333333,1659,31.7
0.003333333,1813,32.4
0.023333333,1851,32.9
0.023333333,1924,33
0.023333333,1854,33
0.023333333,1595,32.7
0.023333333,1584,32.3
0.023333333,1353,31.8
0.023333333,1054,31.5
0.023333333,678,29
0.023333333,161,27.3
0.023333333,0,26.4
0.023333333,0,25.9
0.023333333,0,25.4
0.023333333,0,24.9
0.023333333,0,24.5
0.023333333,0,24.1
0.023333333,0,23.8
0.023333333,0,23.3
0.023333333,0,23.3
0.023333333,75,24
0.023333333,778,25.4
0.023333333,175,27
0.023333333,390,28.2
0.023333333,502,29.1
0.023333333,918,29.6
0.00125,664,29.7
0.00125,640,29.3
0.00125,210,28.8
0.00125,410,28.4
0.00125,336,28.1
0.00125,1316,27.6
0.00125,1019,27.3
0.00125,669,25.1
0.00125,173,23.5
0.00125,0,22.4
0.00125,0,21.5
0.00125,0,21
0.00125,0,20.6
0.00125,0,20.2
0.00125,0,19.8
0.00125,0,19.6
0.00125,0,19.4
0.00125,0,19.5
0.00125,429,20.6
0.00125,898,22.5
0.00125,1240,25.2
0.00125,1517,27.5
0.00125,1728,29
0.00125,1882,30.2
0,1970,31.1
0,1986,31.8
0,1932,32.2
0,1648,32.3
0,1629,32.1
0,1323,31.8
0,1098,31.7
0,409,28
0,82,25.7
0,0,24.3
0,0,23.4
0,0,22.6
0,0,21.9
0,0,21.2
0,0,20.6
0,0,20.1
0,0,19.6
0,0,19.9
0,190,21.1
0,800,22.9
0,1143,25
0,1422,26.8
0,1643,28.2
0,1798,29.5
0.00125,1898,30.4
0.00125,1931,31
0.00125,1883,31.4
0.00125,1774,31.4
0.00125,1603,31.1
0.00125,1176,30.4
0.00125,603,30
0.00125,160,27
0.00125,179,24.9
0.00125,0,23.5
0.00125,0,22.3
0.00125,0,21
0.00125,0,20
0.00125,0,19.3
0.00125,0,18.9
0.00125,0,18.5
0.00125,0,18.3
0.00125,0,18.4
0.00125,391,19.5
0.00125,872,21.6
0.00125,1224,23.8
0.00125,1505,25.7
0.00125,1721,27
0.00125,1876,27.9
0,1963,28.6
0,1983,29
0,1937,29.3
0,1561,29.2
0,1555,28.9
0,1279,28.4
0,1095,28.1
0,725,25.6
0,178,23.3
0,0,22.1
0,0,21.3
0,0,20.9
0,0,20.3
0,0,19.7
0,0,19.1
0,0,18.8
0,0,18.5
0,0,18.9
0,403,20.4
0,878,22.7
0,1215,25.3
0,1475,27.3
0,1680,28.3
0,1811,29.1
0,1912,29.7
0,1934,30.1
0,1889,30.3
0,1777,30.3
0,1604,29.9
0,1363,29.3
0,1059,28.9
0,667,26.6
0,38,25
0,0,23.8
0,0,23.1
0,0,22.5
0,0,22
0,0,21.5
0,0,21
0,0,20.5
0,0,20.2
0,0,20.2
0,77,21
0,344,22.8
0,467,25.2
0,720,27.6
0,571,29.3
0,799,30.3
0,767,30.6
0,1724,30.3
0,1651,29.7
0,699,29.3
0,116,29
0,484,28.6
0,731,28.3
0,56,26.7
0,8,25.8
0,0,24.8
0,0,23.3
0,0,21.6
0,0,20.4
0,0,19.4
0,0,18.7
0,0,18.1
0,0,17.8
0,0,17.9
0,10,18
0,16,18.3
0,50,18.6
0,297,19.2
0,272,20
0,198,21
0.0125,441,21.7
0.0125,958,22.4
0.0125,998,23.4
0.0125,744,24.1
0.0125,581,24.1
0.0125,1305,23.7
0.0125,995,23.4
0.0125,640,21.3
0.0125,128,19.7
0.0125,0,18.7
0.0125,0,17.9
0.0125,0,17.3
0.0125,0,17
0.0125,0,16.7
0.0125,0,16.3
0.0125,0,15.7
0.0125,0,14.9
0.0125,0,15
0.0125,390,16.8
0.0125,699,19.3
0.0125,1115,21.8
0.0125,1214,23.7
0.0125,1359,25.1
0.0125,1691,26.3
0,1964,27.4
0,1829,28.2
0,1894,28.7
0,1837,28.9
0,1492,28.7
0,1291,28.1
0,1014,27.8
0,646,24.6
0,148,22.5
0,0,21.6
0,0,21.2
0,0,20.8
0,0,20.4
0,0,20
0,0,19.6
0,0,19.3
0,0,19.1
0,0,19.6
0,274,21.1
0,685,22.9
0,1113,24.9
0,1401,26.6
0,1516,27.5
0,1626,28.3
0.002083333,1778,29
0.002083333,1878,29.5
0.002083333,1868,30.2
0.002083333,1705,30.7
0.002083333,1569,30.6
0.002083333,863,30.4
0.002083333,1016,30.2
0.002083333,342,28.7
0.002083333,97,27.4
0.002083333,0,26.5
0.002083333,0,25.9
0.002083333,0,25.3
0.002083333,0,24.8
0.002083333,0,24.2
0.002083333,0,23.8
0.002083333,0,23.4
0.002083333,0,23.3
0.002083333,0,23.4
0.002083333,56,24.2
0.002083333,48,25.6
0.002083333,18,27.3
0.002083333,656,28.8
0.002083333,1586,30.2
0.002083333,1771,31.2
0,1871,31.9
0,1881,32.1
0,1390,32.1
0,1037,31.8
0,1086,31.3
0,1244,30.6
0,813,30.3
0,467,29
0,67,28.1
0,0,27.4
0,0,26.8
0,0,26.2
0,0,25.8
0,0,25.4
0,0,25
0,0,24.5
0,0,23.7
0,0,23
0,53,22.8
0,190,23.4
0,552,24.7
0,515,26.3
0,1712,27.6
0,1451,28.6
0,1554,29.3
0,1569,29.8
0,1071,30.1
0,501,30.2
0,1056,30.1
0,1283,29.8
0,1031,29.6
0,645,26.2
0,102,24.1
0,0,23.2
0,0,22.7
0,0,22.2
0,0,21.7
0,0,21.4
0,0,21
0,0,20.6
0,0,20.5
0,0,20.4
0,41,20.6
0,32,20.8
0,50,20.9
0,74,21.5
0,311,22.8
0,447,24.1
0,365,24.8
0,423,25.3
0,330,25.6
0,609,25.5
0,1553,25.1
0,1312,24.6
0,1002,24.3
0,607,22.5
0,87,21.1
0,0,20.3
0,0,19.8
0,0,19.4
0,0,19
0,0,18.7
0,0,18.4
0,0,18.3
0,0,17.9
0,0,18.2
0,30,19.6
0,82,21.5
0,613,23.4
0,693,24.9
0,701,25.8
0,383,26.5
0,387,27.4
0,563,28.2
0,1361,28.6
0,1593,28.7
0,1565,28.4
0,1328,27.9
0,1025,27.5
0,640,25.1
0,98,23.5
0,0,22.7
0,0,22
0,0,21.3
0,0,20.6
0,0,19.9
0,0,19
0,0,18.2
0,0,17.4
0,0,17.1
0,115,17.8
0,701,19.5
0,1206,22
0,1515,24.2
0,1729,25.5
0,1883,26.4
0.008333333,1970,27.3
0.008333333,1989,27.9
0.008333333,1939,28.4
0.008333333,1821,28.6
0.008333333,1639,28.5
0.008333333,1398,28.1
0.008333333,1096,27.8
0.008333333,695,24.5
0.008333333,126,22.1
0.008333333,0,20.9
0.008333333,0,20
0.008333333,0,19.2
0.008333333,0,18.5
0.008333333,0,18
0.008333333,0,17.5
0.008333333,0,17.2
0.008333333,0,17
0.008333333,0,17
0.008333333,317,18
0.008333333,828,20.2
0.008333333,1191,23
0.008333333,1468,25.2
0.008333333,1675,26.6
0.008333333,1730,27.4
0,1658,27.7
0,1437,28
0,1378,28.1
0,1360,28.4
0,1556,28.5
0,1299,27.9
0,975,27.5
0,558,25.3
0,64,24.3
0,0,23.8
0,0,23.2
0,0,22.5
0,0,21.9
0,0,21.3
0,0,20.8
0,0,20.3
0,0,19.9
0,0,19.9
0,265,20.7
0,766,22.6
0,1133,25.2
0,1420,27.7
0,1640,29.6
0,1798,30.9
0.005416667,1888,31.5
0.005416667,1908,31.7
0.005416667,1862,31.6
0.005416667,1419,31.4
0.005416667,1237,31.2
0.005416667,1225,30.8
0.005416667,1012,30.5
0.005416667,640,28.3
0.005416667,97,27
0.005416667,0,26.2
0.005416667,0,25.5
0.005416667,0,24.8
0.005416667,0,24.3
0.005416667,0,23.9
0.005416667,0,23.5
0.005416667,0,23.2
0.005416667,0,22.7
0.005416667,0,22.5
0.005416667,38,23.2
0.005416667,319,25.1
0.005416667,571,27.7
0.005416667,776,30.2
0.005416667,1235,32.1
0.005416667,1367,33.1
0,1817,33.6
0,1737,33.8
0,1731,33.7
0,1584,33.3
0,1416,32.7
0,1240,32
0,817,31.5
0,299,29.4
0,12,28
0,0,27.1
0,0,26.4
0,0,25.8
0,0,25.3
0,0,24.9
0,0,24.7
0,0,24.5
0,0,24.3
0,0,24.1
0,185,24.6
0,746,26.2
0,1117,28.3
0,1252,30.2
0,1000,31.3
0,490,31.9
0,523,31.9
0,124,31.5
0,461,30.8
0,307,29.9
0,274,29
0,168,28.1
0,84,27.6
0,136,26.3
0,10,25.6
0,0,25.2
0,0,24.8
0,0,24.4
0,0,23.9
0,0,23.1
0,0,22.2
0,0,21.3
0,0,20.7
0,0,20.2
0,26,20.2
0,126,20.7
0,190,22
0,538,24.1
0,1401,26.2
0,1803,27.9
0,1957,29
0,1986,29.8
0,1943,30.3
0,1834,30.5
0,1659,30.3
0,1423,29.8
0,1121,29.6
0,724,26.2
0,107,24.1
0,0,23
0,0,22.2
0,0,21.7
0,0,21.3
0,0,20.7
0,0,19.8
0,0,19
0,0,18.2
0,0,18.1
0,315,19.6
0,837,22
0,1201,24.6
0,1483,27.1
0,1699,28.5
0,1854,29.4
0,1942,30.1
0,1963,30.5
0,1915,30.7
0,1800,30.7
0,1621,30.4
0,1383,29.6
0,1078,29.1
0,503,25.9
0,12,24.1
0,0,23.4
0,0,22.9
0,0,22.5
0,0,22.1
0,0,21.7
0,0,21.5
0,0,21.2
0,0,20.8
0,0,20.7
0,247,21.8
0,773,23.9
0,1020,26.5
0,1432,28.7
0,1462,29.7
0,1199,30
0,1387,30
0,1615,30.1
0,1514,30.2
0,995,30.2
0,276,29.9
0,341,29.3
0,368,28.9
0,123,26.5
0,8,25.1
0,0,24.2
0,0,23.4
0,0,22.6
0,0,21.9
0,0,21.3
0,0,20.8
0,0,20.3
0,0,19.9
0,0,19.7
0,167,20.1
0,733,21.6
0,712,23.9
0,1128,26
0,1265,27.3
0,1478,28
